set,repo,path,method,operationId,gt_class,resolved,security_present,security_scheme_count,security_scopes,doc_top_level_security,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,requestBody_present,requestBody_media_type,requestBody_props,requestBody_party_money,status_codes,has200,has201,has202,has204,callbacks_present,doc_has_webhooks,desc_mentions_callback,idempotency_header_param,party_id_param,x_extension_keys,has_operationId,has_summary,has_description,resource_schema_found,resource_schema_from,resource_schema_props,resource_schema_party_field
camara,DeviceLocation,/subscriptions,POST,createGeofencingSubscription,x,true,true,1,geofencing-subscriptions:org.camaraproject.geofencing-subscriptions.v0.area-entered:create|geofencing-subscriptions:org.camaraproject.geofencing-subscriptions.v0.area-left:create,false,false,true,true,application/json,protocol|sink|sinkCredential|types|config,true,201|202|400|401|403|422|429,false,true,true,false,true,false,true,false,false,,true,true,true,true,/subscriptions,protocol|sink|types|config|id|startsAt|expiresAt|status,true
camara,DeviceLocation,/subscriptions,GET,retrieveGeofencingSubscriptionList,r,true,true,1,geofencing-subscriptions:read,false,false,true,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions,protocol|sink|types|config|id|startsAt|expiresAt|status,true
camara,DeviceLocation,/subscriptions/{subscriptionId},GET,retrieveGeofencingSubscription,r,true,true,1,geofencing-subscriptions:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|types|config|id|startsAt|expiresAt|status,true
camara,DeviceLocation,/subscriptions/{subscriptionId},DELETE,deleteGeofencingSubscription,w,true,true,1,geofencing-subscriptions:delete,false,false,true,false,,,false,202|204|400|401|403|404,false,false,true,true,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|types|config|id|startsAt|expiresAt|status,true
camara,DeviceLocation,/retrieve,POST,retrieveLocation,r,true,true,1,location-retrieval:read,false,false,false,true,application/json,device|maxAge|maxSurface,false,200|400|401|403|404|422,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceLocation,/verify,POST,verifyLocation,r,true,true,1,location-verification:verify,false,false,false,true,application/json,device|area|maxAge,false,200|400|401|403|404|422,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceMediaStreamingRate,/retrieve-maximum-downstream-media-rate,POST,retrieveMaximumDownstreamMediaRate,r,true,true,1,media-streaming-rate:retrieve-maximum-downstream-media-rate,false,false,true,true,application/json,device,false,200|400|401|403|404|422|429|503,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DeviceReachabilityStatus,/subscriptions,POST,createDeviceReachabilityStatusSubscription,x,true,true,1,device-reachability-status-subscriptions:org.camaraproject.device-reachability-status-subscriptions.v0.reachability-data:create|device-reachability-status-subscriptions:org.camaraproject.device-reachability-status-subscriptions.v0.reachability-sms:create|device-reachability-status-subscriptions:org.camaraproject.device-reachability-status-subscriptions.v0.reachability-disconnected:create,false,false,true,true,application/json,protocol|sink|sinkCredential|types|config,true,201|202|400|401|403|409|422|429,false,true,true,false,true,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,DeviceReachabilityStatus,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,r,true,true,1,device-reachability-status-subscriptions:read,false,false,true,false,,,false,200|400|401|403,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions,subscriptions|pagination,false
camara,DeviceReachabilityStatus,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,r,true,true,1,device-reachability-status-subscriptions:read,false,false,true,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|sinkCredential|types|config|id|startsAt|expiresAt|status,true
camara,DeviceReachabilityStatus,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,w,true,true,1,device-reachability-status-subscriptions:delete,false,false,true,false,,,false,202|204|400|401|403|404,false,false,true,true,false,false,false,false,false,,true,true,true,true,/subscriptions/{subscriptionId},protocol|sink|sinkCredential|types|config|id|startsAt|expiresAt|status,true
