set,repo,method,path,operationId,gt_class,pred,rule,evidence,summary
camara,NetworkAccessManagement,GET,/trust-domains/{trustDomainId}/devices,getTrustDomainDevices,r,r,locked,,List all devices registered to a Trust Domain
camara,NetworkAccessManagement,GET,/trust-domains/{trustDomainId}/devices/{deviceId},getTrustDomainDevice,r,r,locked,,Get a specific device in a Trust Domain
camara,NetworkAccessManagement,PATCH,/trust-domains/{trustDomainId}/devices/{deviceId},updateTrustDomainDevice,w,x,party-noun,summary:device,Update a device in a Trust Domain
camara,NetworkAccessManagement,DELETE,/trust-domains/{trustDomainId}/devices/{deviceId},deleteTrustDomainDevice,w,x,party-noun,summary:device,Remove a device from a Trust Domain
camara,NetworkInsights,GET,/health-scores,getHealthScores,r,r,locked,,Query the latest network health score
camara,NetworkInsights,GET,/traffic-analysis,getTrafficAnalysis,r,r,locked,,Get network traffic analysis
camara,NetworkSliceBooking,POST,/slices/{sliceId}/devices,assignDevice,x,x,floor,,Assign a device to a network slice
camara,NetworkSliceBooking,GET,/slices/{sliceId}/devices,getDevices,r,r,locked,,Get devices assigned to a network slice
camara,NetworkSliceBooking,POST,/slices/{sliceId}/release,releaseDevice,x,x,floor,,Release a device from an existing network slice
camara,NetworkSliceBooking,POST,/retrieve-slices,retrieveSlicesByDevice,r,r,read-verb,opid:retrieve,Retrieve all network slices by device
camara,NetworkSliceBooking,POST,/slices,createSlice,x,x,floor,,Creates a new network slice
camara,NetworkSliceBooking,DELETE,/slices/{sliceId},deleteSlice,w,w,floor,,Delete a network slice
camara,NetworkSliceBooking,GET,/slices/{sliceId},getSlice,r,r,locked,,Get network slcie booking information
camara,NumberRecycling,POST,/check,checkNumberRecycling,r,r,read-verb,opid:check,Check whether the subscriber of the phone number has changed.
camara,NumberVerification,POST,/verify,phoneNumberVerify,r,x,floor,,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token
camara,NumberVerification,GET,/device-phone-number,phoneNumberShare,r,r,locked,,Returns the phone number associated with the access token
camara,OTPValidation,POST,/send-code,sendCode,x,x,live-verb,opid:send,Sends a message including an OTP code to the given phone number
camara,OTPValidation,POST,/validate-code,validateCode,w,x,floor,,Verifies the OTP received as input
camara,OptimalEdgeDiscovery,GET,/regions,getRegions,r,r,locked,,Fetch all Regions
camara,OptimalEdgeDiscovery,POST,/retrieve-optimal-edge-cloud-zones,discoverOptimalEdge,r,x,floor,,Discover optimal edge cloud zones for deployed applications
camara,PopulationDensityData,POST,/retrieve,retrievePopulationDensity,r,r,read-verb,opid:retrieve,Retrieves population density information in a specified area
camara,PredictiveConnectivityData,POST,/retrieve,retrieveConnectivity,r,r,read-verb,opid:retrieve,Obtain connectivity information in the specified area
camara,QoSBooking,POST,/qos-bookings,createBooking,x,x,floor,,This operation reserves required QoS in advance up to a certain number of devices in certain serviceArea and time slot. The devices have to be attached with a subsequent operation.
camara,QoSBooking,GET,/qos-bookings/{bookingId},getBookingById,r,r,locked,,Get the Booking information for a given QoS Booking identified by `bookingId`.
camara,QoSBooking,DELETE,/qos-bookings/{bookingId},deleteBooking,w,w,floor,,This operation cancels an existing QoS Booking and release the associated resources.
camara,QoSBooking,POST,/qos-bookings/{bookingId}/devices/assign,assignDevices,x,x,floor,,Assign one or more devices to an existing QoS Booking identified by `bookingId`
