set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,ModelAsAService,GET,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},getTool,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ModelAsAService,PUT,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},updateTool,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,DELETE,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},deleteTool,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,POST,/knowledge-bases/{knowledgeBaseId}/tools/{toolId}/call,callTool,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,ModelAsAService,POST,/assistants,createAssistant,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ModelAsAService,GET,/assistants,listAssistants,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ModelAsAService,GET,/assistants/{assistantId},getAssistant,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ModelAsAService,PUT,/assistants/{assistantId},updateAssistant,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,DELETE,/assistants/{assistantId},deleteAssistant,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,ModelAsAService,POST,/answer,queryAssistant,r,r,read-verb,opid:query,r,r,r,r,r,r,r,r,r
camara,MostFrequentLocation,POST,/verify,verifyFrequentLocation,r,r,read-verb,opid:verify,r,r,r,r,r,r,r,r,r
camara,MultiPointVPN,POST,/networks,createNetwork,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,MultiPointVPN,PATCH,/networks/{serviceId},updateNetwork,w,x,party-noun,summary:network,x,x,x,x,x,x,x,x,x
camara,MultiPointVPN,GET,/networks/{serviceId},getNetwork,r,r,floor,,r,r,r,r,r,r,r,r,r
